question,optionA,optionB,optionC,optionD,answer,category
"කිසියම් ව්‍යාපාරයක ලාභය වාර්ෂිකව 20%කින් වැඩි වේ. ආරම්භක ලාභය රු. 1000ක් නම් වසර 3කට පසු ලාභය කොපමණද?",1500,1728,1800,2000,B,බුද්ධි ඵලය
"මිනිත්තු 1 කදී පැය කටුව අංශක කීයක් ගමන් කරයිද?",0.5,0.25,1,6,A,බුද්ධි ඵලය
"A, B සහ C යන පුද්ගලයින්ට වැඩක් කිරීමට පිළිවෙලින් දින 10, 15 සහ 30ක් ගතවේ නම්, තිදෙනාම එකට වැඩ කළහොත් දින කීයකින් නිම කළ හැකිද?",5,6,8,10,A,බුද්ධි ඵලය
"පහත අනුක්‍රමයේ අතුරුදහන් අංකය සොයන්න: 2, 5, 11, 23, 47, ?",94,95,96,97,B,බුද්ධි ඵලය
"සංකේත ක්‍රමයකදී 'GOLD' යනු 'HOME' නම්, 'IRON' යනු කුමක්ද?",JSPT,KSPT,JSPU,JSPV,A,බුද්ධි ඵලය
"එක් කාන්තාවක් ඇගේ පුතා දෙසට පෙන්වා 'ඔහු මගේ පියාගේ එකම දියණියගේ පුතාය' යැයි පැවසුවාය. එම පිරිමි ළමයා ඇයට කවුද?",සහෝදරයා,පුතා,ඥාති පුත්‍රයා,ස්වාමිපුරුෂයා,B,බුද්ධි ඵලය
"5^x = 125 නම් x හි අගය කීයද?",2,3,4,5,B,බුද්ධි ඵලය
"එක්තරා කේතයක '123' යනු 'Bright Sun Light' ද, '356' යනු 'Light and Dark' ද, '589' යනු 'Dark and Night' ද වේ නම් 'Light' යන්නට අදාළ අංකය කුමක්ද?",1,2,3,5,C,බුද්ධි ඵලය
"වර්ගඵලය 144ක් වූ සමචතුරස්‍රයකින් අඩක් ඉවත් කළ විට ලැබෙන තවත් හැඩයක පරිමිතිය කීයද? (දිග=12, පළල=6)",12,18,36,48,C,බුද්ධි ඵලය
"ගොනුවක අඩංගු ලිපිගොනු 10න් 3ක් අහඹු ලෙස තෝරා ගත හැකි ක්‍රම ගණන කීයද?",120,720,5040,100,A,බුද්ධි ඵලය
"පහත අංක මාලාවේ නොගැලපෙන අංකය කුමක්ද: 1, 8, 27, 64, 124",8,27,64,124,D,බුද්ධි ඵලය
"කිසියම් කේතයක 'TABLE' යනු 'UBCMF' නම්, 'CHAIR' යනු කුමක්ද?",DIBSJ,DIBJS,DIBQS,DIBSR,A,බුද්ධි ඵලය
"අද සඳුදා නම් දින 365කට පසු දිනය කුමක්ද? (සාමාන්‍ය වර්ෂයක්)",සඳුදා,අඟහරුවාදා,ඉරිදා,බදාදා,A,බුද්ධි ඵලය
"ත්‍රිකෝණයක කෝණවල අනුපාතය 2:3:4 නම් විශාලතම කෝණය කීයද?",60,80,90,100,B,බුද්ධි ඵලය
"X යනු Y ට වඩා උසය. Z යනු W ට වඩා උසය. Y යනු Z ට වඩා උසය. එසේ නම් උසම පුද්ගලයා කවුද?",X,Y,Z,W,A,බුද්ධි ඵලය
"පහත ශ්‍රේණියේ ඊළඟ පදය කුමක්ද: 3, 6, 18, 72, ?",288,360,432,504,B,බුද්ධි ඵලය
"පුද්ගලයෙකු උතුරට 5km ගොස් දකුණට 8km ගියේ නම්, ආරම්භක ස්ථානයේ සිට පිහිටීම කුමක්ද?",උතුරට 3km,දකුණට 3km,උතුරට 13km,දකුණට 13km,B,බුද්ධි ඵලය
"සංඛ්‍යා 5ක එකතුව 500කි. ඉන් සංඛ්‍යා දෙකක එකතුව 100කි. ඉතිරි 3ක මධ්‍යන්‍යය කීයද?",100,133.3,150,200,B,බුද්ධි ඵලය
"එක් බඳුනක රතු බෝල 4ක් සහ සුදු බෝල 6ක් ඇත. අහඹු ලෙස බෝල 2ක් ගත් විට දෙකම එකම වර්ණයක් වීමේ සම්භාවිතාව කීයද?",1/3,2/3,7/15,8/15,C,බුද්ධි ඵලය
"වසර 5කට පෙර පියාගේ වයස පුතා මෙන් 4 ගුණයක් විය. වසර 5කට පසු දෙගුණයක් වනු ඇත. ඔවුන්ගේ වර්තමාන වයස් කීයද?",35 සහ 10,40 සහ 15,45 සහ 20,50 සහ 25,A,බුද්ධි ඵලය
"සෘජුකෝණාස්‍රයක දිග 20%කින් වැඩි කර පළල 20%කින් අඩු කළහොත් වර්ගඵලයේ සිදුවන වෙනස කුමක්ද?",0%,4% වැඩි වීම,4% අඩු වීම,2% අඩු වීම,C,බුද්ධි ඵලය
"පහත අනුක්‍රමයේ ඊළඟ අකුර කුමක්ද: A, D, I, P, ?",W,X,Y,Z,C,බුද්ධි ඵලය
"වැඩකරුවන් 12 දෙනෙකුට දින 8ක් ගතවේ නම්, වැඩකරුවන් 16 දෙනෙකුට එම වැඩය කිරීමට ගතවන දින කීයද?",6,7,9,10,A,බුද්ධි ඵලය
"පහත අංක වලින් වෙනස් එක කුමක්ද: 144, 169, 196, 226",144,169,196,226,D,බුද්ධි ඵලය
"එකම වේගයකින් පන්දුවක් විසි කළ විට වැඩිම දුරක් යාමට එය තැබිය යුතු කෝණය කීයද?",30,45,60,90,B,බුද්ධි ඵලය
"මාසයක දෙවන දිනය අඟහරුවාදා නම්, එම මාසයේ 30 වන දිනය කුමක්ද?",සඳුදා,අඟහරුවාදා,බදාදා,බ්‍රහස්පතින්දා,A,බුද්ධි ඵලය
"කේතයක 'APPLE' යනු 'ELPPA' නම්, 'PEAR' යනු කුමක්ද?",RAEP,REAP,RPAE,RAEP,A,බුද්ධි ඵලය
"සංඛ්‍යා මාලාවේ අතුරුදහන් පදය: 0, 7, 26, 63, ?",80,95,124,125,C,බුද්ධි ඵලය
"කුමන අගය වැඩිද? (2^3)^2 හෝ 2^(3^2)",පළමුවැන්න,දෙවැන්න,දෙකම සමානයි,කිසිවක් නොවේ,B,බුද්ධි ඵලය
"වර්ගඵලය 100ක් වන වර්ගයක විකර්ණයේ දිග කීයද?",10,14.14,20,100,B,බුද්ධි ඵලය
"A සහ B යනු සහෝදරයන්ය. C යනු A ගේ පියාය. D යනු B ගේ පුත්‍රයාය. D යනු C ට කවුද?",පුතා,මුණුපුරා,සහෝදරයා,මාමා,B,බුද්ධි ඵලය
"පහත අකුරු මාලාවේ අතුරුදහන් අකුර සොයන්න: C, F, I, L, ?",O,P,Q,R,A,බුද්ධි ඵලය
"කිසියම් කේතයක '123' යනු 'Hot Coffee', '356' යනු 'Very Hot Day', '589' යනු 'Day and Night' නම් 'Coffee' යනු කුමක්ද?",1,2,3,5,A,බුද්ධි ඵලය
"කිලෝමීටර් 1ක් යනු මීටර් කීයක්ද?",10,100,1000,10000,C,බුද්ධි ඵලය
"වෘත්තයක පරිධිය 2πr වේ. අරය 7cm නම් පරිධිය කීයද? (π=22/7)",22,44,88,154,B,බුද්ධි ඵලය
"පහත අංක ශ්‍රේණියේ වැරදි අංකය සොයන්න: 1, 2, 4, 8, 16, 30",2,4,8,30,D,බුද්ධි ඵලය
"පිරිමියෙකුට සහෝදරියන් 3ක් සිටී නම් ඔවුන්ට සිටින සහෝදරයන් ගණන කීයද?",1,2,3,4,A,බුද්ධි ඵලය
"පහත රටා අනුක්‍රමයේ ඊළඟ එක කුමක්ද: 1, 1, 2, 3, 5, 8, 13, 21, ?",30,34,35,40,B,බුද්ධි ඵලය
"ගණිතමය අගය: 5 + 5 * 5 - 5 / 5 =",29,25,30,24,A,බුද්ධි ඵලය
"පැයකට මිනිත්තු කීයක් ඇත?",30,60,100,120,B,බුද්ධි ඵලය
"දින 20ක් තුළ පුද්ගලයෙකුට වැටුප් ලෙස රු. 2000ක් ලැබේද? ඔහුට දිනකට රු. 100ක් ලැබේ නම් දින 20දී ලැබෙන මුදල කීයද?",1000,2000,3000,4000,B,බුද්ධි ඵලය
