question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ පළමු ජනාධිපතිවරයා කවුද?,"ජෝර්ජ් රාජපක්ෂ","ජේ.ආර්.ජයවර්ධන","ඩී.බී.විජේතුංග","චන්ද්‍රිකා කුමාරතුංග",B,ඉතිහාසය
ශ්‍රී ලංකාවේ අගනුවර කුමක්ද?,"කොළඹ","කැන්ඩි","ගාල්ල","ශ්‍රී ජයවර්ධනපුර කෝට්ටේ",D,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ජනගහණය ආසන්න වශයෙන් කීයක්ද?,"1.5 කෝටි","2.2 කෝටි","3.5 කෝටි","4.5 කෝටි",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ උසම කන්ද කුමක්ද?,"කිරිගල්පොත","පිදුරුතලාගල","අඩම්ස් පීක්","පාර්වතිපුර",C,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ජාතික මල කුමක්ද?,"අරලිය","නිල් මානෙල්","කොබ්බෑ","රත් මල්",B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික සත්වයා කුමක්ද?,"කොබ්බෑ","සිංහයා","කුළුගොයි","හිවලා",A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික ගස කුමක්ද?,"නා","අරලිය","කොහොඹ","ඉඟිරි",A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික ක්‍රීඩාව කුමක්ද?,"ක්‍රිකට්","වොලිබෝල්","රගර්","එලික්කෙලම",B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික ආහාරය කුමක්ද?,"රිසෝට් සහ කරි","කිරිබත්","හොපර්ස්","බිරියානි",A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ජාතික නර්තනය කුමක්ද?,"කන්දියන්","බරණැස්","කථක","උඩරට",A,සංස්කෘතිය
ශ්‍රී ලංකාවේ පළමු රජයේ අගමැතිවරයා කවුද?,"ඩී.එස්.සේනානායක","එස්.ඩබ්ලිව්.ආර්.ඩී.බණ්ඩාරනායක","ජෝන් කොතලාවල","සිරිමාවෝ බණ්ඩාරනායක",A,ඉතිහාසය
ශ්‍රී ලංකාවේ ස්වාධීනත්වය ලැබුවේ කවදාද?,"1948 පෙබරවාරි 4","1947 අගෝස්තු 15","1948 ජනවාරි 1","1949 මාර්තු 12",A,ඉතිහාසය
ශ්‍රී ලංකාවේ ජනාධිපතිවරණ පද්ධතිය හඳුන්වා දුන්නේ කවදාද?,"1972","1978","1982","1987",B,ඉතිහාසය
ශ්‍රී ලංකාවේ ජනාධිපතිවරණ පද්ධතිය හඳුන්වා දුන් ආණ්ඩුක්‍රම ව්‍යවස්ථාව කුමක්ද?,"1972 ආණ්ඩුක්‍රම ව්‍යවස්ථාව","1978 ආණ්ඩුක්‍රම ව්‍යවස්ථාව","1982 ආණ්ඩුක්‍රම ව්‍යවස්ථාව","1994 ආණ්ඩුක්‍රම ව්‍යවස්ථාව",B,ඉතිහාසය
ශ්‍රී ලංකාවේ විශාලතම ගංගාව කුමක්ද?,"කැලණි ගංගාව","මහවැලි ගංගාව","වලවේ ගංගාව","කළු ගංගාව",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ විශාලතම වැව කුමක්ද?,"පරාක්‍රම සමුද්‍රය","සේනානායක සමුද්‍රය","මින්නේරිය වැව","කන්තලේ වැව",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ උසම ඇළ කුමක්ද?,"බොවතල","අලකොල","බඹර","අඹන්ගල",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන තේ වගාව කරන ප්‍රදේශය කුමක්ද?,"උඩරට","පහතරට","වයඹ පළාත","උතුරු පළාත",A,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන රබර් වගා ප්‍රදේශය කුමක්ද?,"උඩරට","පහතරට","වයඹ පළාත","උතුරු පළාත",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන කොකෝස් වගා ප්‍රදේශය කුමක්ද?,"උඩරට","පහතරට","වයඹ පළාත","උතුරු පළාත",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන රටකඩු වගා ප්‍රදේශය කුමක්ද?,"උඩරට","පහතරට","වයඹ පළාත","උතුරු පළාත",B,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන ගල් අඟුරු තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"අනුරාධපුර","පොළොන්නරුව","අරිප්පු","කල්පිටිය",C,භූගෝල විද්‍යාව
ශ්‍රී ලංකාවේ ප්‍රධාන රත්තරන් තැන්පතුව පිහිටා ඇත්තේ කොහේද?,"රත්නපුර","කෑගල්ල","මාතලේ","මොනරාගල",A,භූගෝල විද්‍යාව
