Question,Option A,Option B,Option C,Option D,Answer,Category
රජරට ගොවි අධිකාරියේ කාර්යක්ෂමතාව වැඩිවීමට හේතුවක් විය හැක්කේ,අධිකාරියට උචිත අරමුණු හා පරමාර්ථ ස්ථාපිත කර තිබීම ය.,අරමුණු හා පරමාර්ථ ඉටු කර ගැනීමේ දී සම්පත් නිසි ආකාරයෙන් යොදා ගැනීම ය.,දිගුකාලීන අරමුණු හා පරමාර්ථ නිශ්චය කරගෙන තිබීම ය.,අරමුණු හා පරමාර්ථ ඉටු කර ගැනීමට උපාය මාර්ගික සැලසුම් අනුගමනය කිරීම ය.,B,Structured Questions MCQ
ආයතනයක ප්‍රගතිය පෙන්නුම් කෙරෙන කෙටිකාලීන මිනුම් දණ්ඩකි.,ඵලදායිතාව.,සඵලදායිතාව.,කාර්යක්ෂමතාව.,කාර්යසාධනය.,C,Structured Questions MCQ
රජරට ගොවි අධිකාරියේ ඵලදායිතාව මැනිය හැකි සරල සමීකරණය කුමක්ද?,ඵලදායිතාව = සඵලදායිතාව / යෙදවුම,ඵලදායිතාව = කාර්යක්ෂමතාව / යෙදවුම්,ඵලදායිතාව = යෙදවුම් / නිමැවුම්,ඵලදායිතාව = නිමැවුම / යෙදවුම්,D,Structured Questions MCQ
රජරට ගොවි අධිකාරියේ සඵලදායිතාව මගින් පිළිබිඹු කෙරෙනුයේ,එම අධිකාරිය කොතෙක් දුරට අපේක්ෂිත අරමුණු ළඟා කරගත්තේ ද යන්න ය.,යෙදවුම් හා නිමැවුම් අතර තිබෙන ප්‍රමාණාත්මක සබඳතාවය ය.,කළ යුතු දේ නිවැරදිව සිදුකර ඇත් ද යන්නය ය.,සම්පත් නිසි ආකාරයෙන් කළමනා කරණය කරගෙන ඇත් ද යන්නය.,A,Structured Questions MCQ
රජරට ගොවි අධිකාරියේ කාර්‌යාලයීය භෞතික පරිසරය සංවර්ධනය සඳහා යොදාගත හැකි ඵලදායිතා සංකල්පය තෝරන්න.,5 m'S සංකල්පය,5S සංකල්පය,7 m'S සංකල්පය,8 S සංකල්පය,B,Structured Questions MCQ
රජරට ගොවි අධිකාරියේ කාර්යාලයේ සේවා කටයුතු නිසි ක්‍රම වේදයක් ඔස්සේ නිසි තත්ත්වයකට සිදු කිරීම තුළින් එම අධිකාරියට ලබාගත හැකි ජාත්‍යන්තර තත්ත්ව සහතිකයකි.,ISO 9000:2008 තත්ත්ව සහතිකය.,ISO 9001:2008 තත්ත්ව සහතිකය.,ISO 9002:2008,ISO 9003: 2008 තත්ත්ව සහතිකය.,B,Structured Questions MCQ
රජරට ගොවි අධිකාරියේ ඵලදායිතා සංකල්ප ක්‍රියාත්මක කිරීම හා ඵලදායිතාව වර්ධනය වීම හේතුවෙන් එම අධිකාරියට ඉදිරිපත් විය හැකි ජාතික මට්ටමේ තරගාවලියකි.,ජාතික තත්ත්ව පාලන සම්මාන තරගාවලිය.,ජාතික සඵලදායිතා සම්මාන තරගාවලිය.,ජාතික ඵලදායිතා සම්මාන තරගාවලිය.,රාජ්‍ය සේවා ඵලදායිතා සම්මාන තරගාවලිය.,C,Structured Questions MCQ
රාජ්‍ය ව්‍යවස්ථාපිත මණ්ඩල හා ආයතන වල කටයුතු විමර්ශනය කෙරෙන පාර්ලිමේන්තු කාරක සභාව වනුයේ,රාජ්‍ය ව්‍යාපාර පිළිබඳ පාර්ලිමේන්තු සභාවයි.,රාජ්‍ය ව්‍යාපාර හා සංස්ථා පිළිබඳ උපදේශක කාරක සභාවයි.,පොදු ව්‍යාපාර පිළිබඳ කාරක සභාවයි.,පොදු ව්‍යාපාර පිළිබඳ පාර්ලිමේන්තු මන්ත්‍රී කාරක සභාවයි.,C,Structured Questions MCQ
රජරට ගොවි අධිකාරියේ සේවකයන් තුළ ආකල්ප සංවර්ධනයට බලපෑමක් නොවූ සාධකයක් විය හැක්කේ,වැටුප් හා දීමනාය.,අධීක්ෂණය ය.,උසස් වීම් සඳහා විවෘත අවකාශය ය.,වෘත්තීය සමිති බලපෑම් ය.,D,Structured Questions MCQ
රජරට ගොවි අධිකාරියේ සේවකයින් අභිප්‍රේරණය කිරීම යනු,අධිකාරියේ කාර්යක්ෂමතාව සඳහා සේවක භවතුන්ගේ දායකත්වය අනිවාර්යයෙන්ම ලබා ගැනීමයි.,අධිකාරියේ සේවා කටයුතු සඳහා සේවක භවතුන්ගේ උපරිම දායකත්වයක් ඔවුන්ගේ කැමැත්තෙන් ලබා ගැනීමට ඔවුන් පෙළඹවීමයි.,අධිකාරියේ සඵලදායිතාව වර්ධනය සඳහා සේවක භවතුන්ගේ සක්‍රීය දායකත්වය ලබා ගැනීමයි.,අධිකාරියේ අරමුණු හා පරමාර්ථ ඉටු කර ගැනීම සඳහා සේවක භවතුන්ගේ නිර්මාණශීලී දායකත්වය ලබා ගැනීමයි.,B,Structured Questions MCQ
