question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ ප්‍රථම අධිවේගී මාර්ගයේ සම්පූර්ණ දිග?,100km,126km,150km,175km,B,සාමාන්‍ය දැනුම
සුෂ්මා ස්වරාජ් අයත් වූ දේශපාලන පක්ෂය?,කොංග්‍රස්,භාරතීය ජනතා,බහුජන් සමාජ්,ජනතා දල්,B,සාමාන්‍ය දැනුම
මාල දිවයිනේ ජාතික ගීය 'ගව්මි සලාම්' සංගීතය සැපයූ ශ්‍රී ලාංකිකයා?,පණ්ඩිත් අමරදේව,ඩබ්ලිව්. ඩී. අමරදේව,සනත් නන්දසිරි,වික්ටර් රත්නායක,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ යුනෙස්කෝ ජාතික කොමිසම පිහිටි අමාත්‍යාංශය?,අධ්‍යාපන,විදේශ කටයුතු,සංස්කෘතික,විද්‍යා හා තාක්ෂණ,A,සාමාන්‍ය දැනුම
වර්තමාන ශ්‍රී ලාංකික කාන්තාවකගේ ආයු අපේක්ෂණ වර්ෂ ගණන?,72,75,78,80,C,සාමාන්‍ය දැනුම
'බිසවිය' යනු කුමක්ද?,ස්ත්‍රී නාමයක්,ඉතිහාස ග්‍රන්ථයක්,කාන්තා සඟරාවක්,පුරාණ කාන්තා අභරණයක්,C,සාමාන්‍ය දැනුම
අච්චුවේලි කර්මාන්තපුරයට ආධාර දෙන රට?,චීනය,ඉන්දියාව,ජපානය,කොරියාව,B,සාමාන්‍ය දැනුම
කුරුඳු පර්යේෂණ ආයතනය පිහිටි ස්ථානය?,මීරිගම,මාතර,අම්බලන්ගොඩ,මාතලේ,B,සාමාන්‍ය දැනුම
ජාත්‍යන්තර අධිකරණයේ උපසභාපති වූ ශ්‍රී ලාංකිකයා?,ක්‍රිස්ටෝපර් වීරමන්ත්‍රි,නාගලිංගම්,ඇන්තනි මෙන්ඩිස්,සිරිමාන්න,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ දියමන ලිස්සා යාමේ (surfing) ප්‍රසිද්ධ ස්ථානය?,මිරිස්ස,අරුගම්බේ,හික්කඩුව,කළුතර,B,සාමාන්‍ය දැනුම
ඔරාබි පාෂා යනු කවුද?,ලේඛකයෙකි,ඊජිප්තු විප්ලවවාදියෙකි,දේශපාලන නායකයෙකි,ඉතිහාසඥයෙකි,B,සාමාන්‍ය දැනුම
'ගී ගයන මසුන්' සිටින ස්ථානය?,මඩකලපුව,යාපනය,ත්‍රිකුණාමලය,මන්නාරම,A,සාමාන්‍ය දැනුම
යාපනේ නල්ලූර් ප්‍රසිද්ධ වීමට හේතුවක්?,පුරාණ වෙහෙරක්,කෝවිලක්,බලකොටුවක්,උද්‍යානයක්,B,සාමාන්‍ය දැනුම
මූලික අධ්‍යයන ආයතනය (IFS) පිහිටි නගරය?,කොළඹ,මහනුවර,ගාල්ල,කුරුණෑගල,B,සාමාන්‍ය දැනුම
1988 දෙසැම්බර් 17 සම්මත ව්‍යවස්ථාවේ 16 වැනි සංශෝධනය?,භාෂා ප්‍රතිපත්තිය,මැතිවරණ නීති,පාර්ලිමේන්තු බලතල,අධිකරණ බලතල,A,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ නවවෙනි පරිපාලන පළාත (1889)?,බස්නාහිර,දකුණු,උතුරු,ඌව,D,සාමාන්‍ය දැනුම
ඩොනමෝර් යටතේ ව්‍යවස්ථාදායකය හැඳින්වූයේ?,රාජ්‍ය මන්ත්‍රණ සභාව,ව්‍යවස්ථාදායක මණ්ඩලය,ජාතික සභාව,විධායක සභාව,A,සාමාන්‍ය දැනුම
බ්‍රිතාන්‍ය ආක්‍රමණයට පෙර සහජීවනය පෙන්වන අවස්ථාවක්?,පන්සල් වල දළදා තැන්පත් කිරීම,පන්සල් හා පල්ලි එකට පැවතීම,අන්‍ය ආගමික උත්සවවලට සහය වීම,රජු අන්‍ය ආගම්වලට සැලකීම,D,සාමාන්‍ය දැනුම
තේසවලාම් නීතිය සංග්‍රහ කළ ප්‍රථම යුරෝපීය ආක්‍රමණිකයා?,පෘතුගීසි,ලන්දේසි,බ්‍රිතාන්‍ය,ප්‍රංශ,B,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවට ආවේණික පැරණි ද්වන්ධ සටන් ක්‍රමය?,කරාතේ,අංගම්පොර,ජූඩෝ,මල්ලව පොර,B,සාමාන්‍ය දැනුම
බ්‍රිතාන්‍යයන් ලන්දේසීන් පරදවා මුහුදුබඩ ප්‍රදේශ අත්පත් කරගත් වසර?,1792,1796,1802,1815,B,සාමාන්‍ය දැනුම
සතුන් වෙනුවෙන් නීතිය ඉටු කළ පැරණි රජු?,දුටුගැමුණු,පරාක්‍රමබාහු,එළාර,කාවන්තිස්ස,C,සාමාන්‍ය දැනුම
ලෝකයේ වාර්තාගත ප්‍රථම බුද්ධි පරීක්ෂණය?,පණ්ඩිත මහාමාත්‍ය කතාව,මහා ඕෂධ පණ්ඩිත කතාව,අනුරාධපුර සිද්ධියක්,රුවන්වැලිසෑය ඉදිකිරීම,B,සාමාන්‍ය දැනුම
පැරණි ශ්‍රී ලංකාවේ පිහිටුවා තිබූ කුඩා පරිපාලන ඒකකය?,ගම්සභාව,පංචයත්,ප්‍රාදේශීය සභාව,දස දහස් පාලනය,A,සාමාන්‍ය දැනුම
"ශ්‍රී ලංකාවේ සාහිත්‍ය, සංගීත, නාට්‍ය ආභාසය ලැබූ ඉන්දීය ප්‍රාඥයා?",රවීන්ද්‍රනාත් තාගෝර්,මහත්මා ගාන්ධි,නේරු,අම්බෙඩ්කාර්,A,සාමාන්‍ය දැනුම
වැඩ සොඬභාවය (workaholism) ජීවන ශෛලිය කරගත් ආසියානු රට?,ඉන්දියාව,ජපානය,චීනය,වියට්නාමය,B,සාමාන්‍ය දැනුම
