question,optionA,optionB,optionC,optionD,answer,category
2010 ශ්‍රී ලංකා මහ බැංකු වාර්තාවට අනුව ශ්‍රී ලංකාවේ ඒක පුද්ගල ආදායම් ඉලක්කය?,2900,3000,3100,3200,A,සාමාන්‍ය දැනුම
වර්තමාන ශ්‍රී ලංකාවේ විරැකියා අනුපාතය?,7.4%,6.3%,5.2%,4.2%,C,සාමාන්‍ය දැනුම
අනෙකුත් සාක් රටවල් සමග සංසන්දනය කිරීමේ දී ශ්‍රී ලංකාව ලබා ඇති සුවිශේෂ තත්ත්වය?,නූගත්කම අවම වීම,යටිතල පහසුකම් වර්ධනය,දේශපාලන ස්ථාවර භාවය,ජනතාවගේ කුසලතා වැඩි වීම,A,සාමාන්‍ය දැනුම
දිවයිනේ සෑම නිවෙසකටම විදුලි බලය ලබාදීමට සැලසුම් කොට ඇති වර්ෂය?,2013,2014,2015,2016,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ වර්තමාන ජනගහනය පිළිබඳ සාවද්‍ය ප්‍රකාශය කුමක්ද?,මිලියන 21.1ක් වේ,අවුරුදු 65ට වැඩි 10.5%ක් වේ,ආයු අපේක්ෂාව 75ක් වේ,මාතෘ මරණ 39ක් වේ,B,සාමාන්‍ය දැනුම
අල්ලස් හා දූෂණ පිළිබඳ දැනුම් දිය යුතු දුරකථන අංකය?,1924,1954,1964,1984,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකා ජාතික ධජය එසවීමේ දී අනුගමනය නොකළ යුත්තක්?,වෙනත් ධජයකට පෙර එසවීම,සියලු උත්සවවලදී එසවීම,ආගමික ධජවලට පහළින් එසවීම,උත්සවාකාරයෙන් එසවීම,A,සාමාන්‍ය දැනුම
දේශගුණික අර්බුදය පිළිබඳ ශ්‍රී ලංකාව ගෙන ඇති පියවර?,හරිත ලංකා වැඩසටහන,පරිසර සංරක්ෂණ ව්‍යාපෘති,ජාතික ප්‍රතිපත්තියක් සකස් කිරීම,දේශගුණික වෙනස්වීම් දැනුවත් කිරීම,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ ප්‍රථම කිඹුල් ගොවිපොළ ආරම්භ කරන ස්ථානය?,මාතර,කළුතර,බෙන්තර,මුතුරාජවෙල,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවෙන් බඩ ඉරිඟු ටොන් 10000ක් අපනයනය කළේ?,තායිවානයට හා කැනඩාවට,චීනයට හා පිලිපීනයට,මාලදිවයිනට හා ඕමානයට,නේපාලයට හා පකිස්ථානයට,C,සාමාන්‍ය දැනුම
ශ්‍රී ලංකාවේ වනාන්තර ප්‍රදේශය මුළු භූමියෙන් ප්‍රතිශතය?,21%,24%,27%,29%,B,සාමාන්‍ය දැනුම
