question,optionA,optionB,optionC,optionD,answer,category
ශ්‍රී ලංකාවේ පළමු ජනාධිපතිවරයා කවුද?,"ජෝර්ජ් රාජපක්ෂ","ජේ.ආර්.ජයවර්ධන","ඩී.බී.විජේතුංග","චන්ද්‍රිකා කුමාරතුංග",B,ඉතිහාසය
ශ්‍රී ලංකාවේ අගනුවර කුමක්ද?,"කොළඹ","කැන්ඩි","ගාල්ල","ශ්‍රී ජයවර්ධනපුර කෝට්ටේ",D,භූගෝල විද්‍යාව
2 + 2 = ?,"3","4","5","6",B,ගණිතය
5 × 5 = ?,"20","25","30","35",B,ගණිතය
10 ÷ 2 = ?,"3","4","5","6",C,ගණිතය
100 - 25 = ?,"65","70","75","80",C,ගණිතය
3² = ?,"6","9","12","15",B,ගණිතය
√16 = ?,"2","3","4","5",C,ගණිතය
2³ = ?,"4","6","8","10",C,ගණිතය
1/2 + 1/2 = ?,"1/4","1","2/4","2",B,ගණිතය
15 + 25 = ?,"35","40","45","50",B,ගණිතය
20 × 3 = ?,"50","60","70","80",B,ගණිතය
50 ÷ 5 = ?,"8","9","10","11",C,ගණිතය
100 - 35 = ?,"55","60","65","70",C,ගණිතය
4² = ?,"12","14","16","18",C,ගණිතය
√25 = ?,"3","4","5","6",C,ගණිතය
3³ = ?,"18","21","24","27",D,ගණිතය
1/3 + 1/3 = ?,"1/6","2/3","3/6","1",B,ගණිතය
20% of 200 = ?,"30","40","50","60",B,ගණිතය
5 × 6 = ?,"25","30","35","40",B,ගණිතය
12 + 18 = ?,"28","30","32","34",B,ගණිතය
7 × 8 = ?,"48","54","56","64",C,ගණිතය
36 ÷ 6 = ?,"5","6","7","8",B,ගණිතය
45 - 18 = ?,"25","27","29","31",B,ගණිතය
6² = ?,"30","32","34","36",D,ගණිතය
√36 = ?,"4","5","6","7",C,ගණිතය
4³ = ?,"48","56","64","72",C,ගණිතය
2/5 + 3/5 = ?,"4/5","1","6/5","5/5",B,ගණිතය
15% of 300 = ?,"40","45","50","55",B,ගණිතය
8 × 9 = ?,"64","70","72","80",C,ගණිතය
කාබන් ඩයොක්සයිඩ් හි රසායනික සූත්රය කුමක්ද?,"CO","CO2","C2O","CO3",B,විද්‍යාව
ඔක්සිජන් හි රසායනික සූත්රය කුමක්ද?,"O","O2","O3","O4",B,විද්‍යාව
නයිට්රජන් හි රසායනික සූත්රය කුමක්ද?,"N","N2","N3","N4",B,විද්‍යාව
හයිඩ්‍රජන් හි රසායනික සූත්රය කුමක්ද?,"H","H2","H3","H4",B,විද්‍යාව
ලුණු හි රසායනික සූත්රය කුමක්ද?,"NaCl","Na2Cl","NaCl2","Na2Cl2",A,විද්‍යාව
සීනි හි රසායනික සූත්රය කුමක්ද?,"C6H12O6","C12H22O11","C6H6O6","C12H12O12",B,විද්‍යාව
ඇල්කොහොල් හි රසායනික සූත්රය කුමක්ද?,"C2H5OH","C2H6O","CH3OH","C3H7OH",A,විද්‍යාව
ඇමෝනියා හි රසායනික සූත්රය කුමක්ද?,"NH2","NH3","NH4","N2H4",B,විද්‍යාව
සල්ෆියුරික් අම්ලය හි රසායනික සූත්රය කුමක්ද?,"H2SO3","H2SO4","H3SO4","HSO4",B,විද්‍යාව
හයිඩ්‍රොක්ලොරික් අම්ලය හි රසායනික සූත්රය කුමක්ද?,"HCl","H2Cl","HCl2","H3Cl",A,විද්‍යාව
පෘථිවියේ වායුගෝලයේ නයිට්රජන් ප්‍රතිශතය කීයද?,"68%","78%","88%","98%",B,විද්‍යාව
පෘථිවියේ වායුගෝලයේ කාබන් ඩයොක්සයිඩ් ප්‍රතිශතය කීයද?,"0.03%","0.04%","0.05%","0.06%",B,විද්‍යාව
පෘථිවියේ වායුගෝලයේ ආගන් ප්‍රතිශතය කීයද?,"0.93%","0.94%","0.95%","0.96%",A,විද්‍යාව
පෘථිවියේ වායුගෝලයේ ජල වාෂ්ප ප්‍රතිශතය කීයද?,"0-4%","0-5%","0-6%","0-7%",A,විද්‍යාව
මිනිස් ශරීරයේ රුධිරයේ රතු රුධිරාණු ප්‍රතිශතය කීයද?,"40-45%","45-50%","50-55%","55-60%",B,විද්‍යාව
මිනිස් ශරීරයේ රුධිරයේ සුදු රුධිරාණු ප්‍රතිශතය කීයද?,"0.5-1%","1-2%","2-3%","3-4%",A,විද්‍යාව
මිනිස් ශරීරයේ රුධිරයේ ප්ලාස්මා ප්‍රතිශතය කීයද?,"50-55%","55-60%","60-65%","65-70%",B,විද්‍යාව
