question,optionA,optionB,optionC,optionD,answer,category
මිනිස් ශරීරයේ ඇති අස්ථි (ඇට) ගණන සාමාන්‍යයෙන් කීයද?,206,210,198,220,A,සාමාන්‍ය දැනුම
මිනිස් ශරීරයේ විශාලතම ඉන්ද්‍රිය කුමක්ද?,අක්මාව,සම,පෙනහලු,හදවත,B,සාමාන්‍ය දැනුම
රුධිරය රතු පැහැයක් ගැනීමට හේතු වන වර්ණකය කුමක්ද?,ක්ලෝරොෆිල්,කැරොටින්,හිමොග්ලොබින්,මෙලනින්,C,සාමාන්‍ය දැනුම
මිනිස් හදවතේ කුටීර කීයක් තිබේද?,02,03,04,05,C,සාමාන්‍ය දැනුම
වැඩිහිටි මිනිසෙකුගේ මුඛයේ ඇති දත් ගණන කීයද?,28,30,32,34,C,සාමාන්‍ය දැනුම
විද්‍යාවේ පියා (Father of Science) ලෙස හඳුන්වන්නේ කවුද?,ඇල්බට් අයින්ස්ටයින්,අයිසැක් නිව්ටන්,ගැලීලියෝ ගැලීලි,තෝමස් එඩිසන්,C,සාමාන්‍ය දැනුම
දුරේක්ෂය මුලින්ම වැඩිදියුණු කර භාවිතා කළේ කවුද?,ගැලීලියෝ ගැලීලි,අයිසැක් නිව්ටන්,තෝමස් එඩිසන්,නිකලස් කොපර්නිකස්,A,සාමාන්‍ය දැනුම
විදුලි බල්බය සොයාගත්තේ කවුද?,ඇලෙක්සැන්ඩර් ග්‍රැහැම් බෙල්,තෝමස් අල්වා එඩිසන්,නිකොලා ටෙස්ලා,අයිසැක් නිව්ටන්,B,සාමාන්‍ය දැනුම
ගුරුත්වාකර්ෂණ බලය සොයාගත්තේ කවුද?,අයිසැක් නිව්ටන්,ගැලීලියෝ ගැලීලි,ඇල්බට් අයින්ස්ටයින්,ජොහැන්නස් කෙප්ලර්,A,සාමාන්‍ය දැනුම
පෙනිසිලින් ඖෂධය සොයාගත්තේ කවුද?,ලුවී පාස්චර්,ඇලෙක්සැන්ඩර් ෆ්ලෙමින්,එඩ්වඩ් ජෙනර්,ජෝසප් ලිස්ටර්,B,සාමාන්‍ය දැනුම
ගුවන් විදුලිය (Radio) සොයාගත්තේ කවුද?,ගුල්lielmo මාර්කෝනි,තෝමස් එඩිසන්,ඇලෙක්සැන්ඩර් ග්‍රැහැම් බෙල්,ජෝන් ලොගී බෙයාර්ඩ්,A,සාමාන්‍ය දැනුම
දුරකථනය (Telephone) සොයාගත්තේ කවුද?,තෝමස් එඩිසන්,ඇලෙක්සැන්ඩර් ග්‍රැහැම් බෙල්,නිකොලා ටෙස්ලා,ගුල්lielmo මාර්කෝනි,B,සාමාන්‍ය දැනුම
රූපවාහිනිය (Television) සොයාගත්තේ කවුද?,තෝමස් එඩිසන්,ජෝන් ලොගී බෙයාර්ඩ්,ගුල්lielmo මාර්කෝනි,ඇලෙක්සැන්ඩර් ග්‍රැහැම් බෙල්,B,සාමාන්‍ය දැනුම
